"id","parcel_apn","sthsnum","ststname","stsuffix","stcity","ststate","stzip"
"119923335","127 077-020-000","1A","ROUTE 37","CTR","SHERMAN","CT","06784""id","parcel_apn","sthsnum","ststname","stsuffix","stcity","ststate","stzip"
"119956657","127 009-064-000","84A","ROUTE 37","","SHERMAN","CT","06784""id","parcel_apn","sthsnum","ststname","stsuffix","stcity","ststate","stzip"
"208380279","127 076-062-000","32","HOLIDAY POINT","RD","SHERMAN","CT","06784""id","parcel_apn","sthsnum","ststname","stsuffix","stcity","ststate","stzip"
"119969657","127 073-022-000","18","CEDAR LANE","EXT","SHERMAN","CT","06784""id","parcel_apn","sthsnum","ststname","stsuffix","stcity","ststate","stzip"
"208421611","091 27 2 1.18 (18)","2A","BALL POND","RD","NEW FAIRFIELD","CT","06812""id","parcel_apn","sthsnum","ststname","stsuffix","stcity","ststate","stzip"
"208450350","091 18 1 5","10A","FAWN CREST","DR","NEW FAIRFIELD","CT","06812""id","parcel_apn","sthsnum","ststname","stsuffix","stcity","ststate","stzip"
"207326133","091 23 9 17.2 & 18","1","GILLOTTI","RD","NEW FAIRFIELD","CT","06812""id","parcel_apn","sthsnum","ststname","stsuffix","stcity","ststate","stzip"
"207932430","034 C050340000","96A","BALL POND","RD","DANBURY","CT","06811""id","parcel_apn","sthsnum","ststname","stsuffix","stcity","ststate","stzip"
"207035170","034 B060270000","124A","KING","ST","DANBURY","CT","06811""id","parcel_apn","sthsnum","ststname","stsuffix","stcity","ststate","stzip"
"207939429","034 D080210000","7","JUDITH","DR","DANBURY","CT","06811""id","parcel_apn","sthsnum","ststname","stsuffix","stcity","ststate","stzip"
"208028399","034 E060390000","49A","LAKE","RD","DANBURY","CT","06811""id","parcel_apn","sthsnum","ststname","stsuffix","stcity","ststate","stzip"
"9265591","034 F080500000","90","CLAPBOARD RIDGE","RD","DANBURY","CT","06811""id","parcel_apn","sthsnum","ststname","stsuffix","stcity","ststate","stzip"
"207516713","034 F090330000","76","CLAPBOARD RIDGE","RD","DANBURY","CT","06811""id","parcel_apn","sthsnum","ststname","stsuffix","stcity","ststate","stzip"
"207642883","034 G090120000","91","CLAPBOARD RIDGE","RD","DANBURY","CT","06811""id","parcel_apn","sthsnum","ststname","stsuffix","stcity","ststate","stzip"
"208500581","034 D130400000","87A","DRIFTWAY","RD","DANBURY","CT","06811""id","parcel_apn","sthsnum","ststname","stsuffix","stcity","ststate","stzip"
"208525519","034 D130640000","60","DRIFTWAY","RD","DANBURY","CT","06811""id","parcel_apn","sthsnum","ststname","stsuffix","stcity","ststate","stzip"
"206942774","034 D140610000","42","DRIFTWAY","RD","DANBURY","CT","06811""id","parcel_apn","sthsnum","ststname","stsuffix","stcity","ststate","stzip"
"207725099","034 C140620000","103","MILL PLAIN","RD","DANBURY","CT","06811""id","parcel_apn","sthsnum","ststname","stsuffix","stcity","ststate","stzip"
"209120812","034 F140990000","8","SCUPPO","RD","DANBURY","CT","06811""id","parcel_apn","sthsnum","ststname","stsuffix","stcity","ststate","stzip"
"207145900","118 E13-0068","24","NORTH","ST","RIDGEFIELD","CT","06877""id","parcel_apn","sthsnum","ststname","stsuffix","stcity","ststate","stzip"
"207555248","118 E14-0027","4","RAMAPOO","RD","RIDGEFIELD","CT","06877""id","parcel_apn","sthsnum","ststname","stsuffix","stcity","ststate","stzip"
"207730123","118 E15-0111","33","CATOONAH","ST","RIDGEFIELD","CT","06877""id","parcel_apn","sthsnum","ststname","stsuffix","stcity","ststate","stzip"
"207805512","118 E15-0107","39B","CATOONAH","ST","RIDGEFIELD","CT","06877""id","parcel_apn","sthsnum","ststname","stsuffix","stcity","ststate","stzip"
"208203096","118 E14-0160","66","GROVE","ST","RIDGEFIELD","CT","06877""id","parcel_apn","sthsnum","ststname","stsuffix","stcity","ststate","stzip"
"119968193","118 E14-0118","500","MAIN","ST","RIDGEFIELD","CT","06877""id","parcel_apn","sthsnum","ststname","stsuffix","stcity","ststate","stzip"
"207751904","118 E16-0058","27R","WEST","LN","RIDGEFIELD","CT","06877""id","parcel_apn","sthsnum","ststname","stsuffix","stcity","ststate","stzip"
"207449836","118 F18-0051","180","WILTON","RD","RIDGEFIELD","CT","06877""id","parcel_apn","sthsnum","ststname","stsuffix","stcity","ststate","stzip"
"5142665","033 10 10 23-1","9","LEDGE","RD","CROMWELL","CT","06416""id","parcel_apn","sthsnum","ststname","stsuffix","stcity","ststate","stzip"
"5148754","033 17 9 1-1","2A","ANTHONY","AVE","CROMWELL","CT","06416""id","parcel_apn","sthsnum","ststname","stsuffix","stcity","ststate","stzip"
"203999045","033 17 8 23","46","STONE HEDGE","RD","WESTBROOK","CT","06498""id","parcel_apn","sthsnum","ststname","stsuffix","stcity","ststate","stzip"
"204025753","033 17 9 14","9R","VICKI","LN","CROMWELL","CT","06416""id","parcel_apn","sthsnum","ststname","stsuffix","stcity","ststate","stzip"
